Q_2_2_1_zone;Q_3_1_4_Scolarite;Q_3_3_2_temps_communautes;Q_3_4_2_activites_professionnelles;Q_4_1_2_1_qui_habite;Q_4_4_1_participer_eglise;Q_4_4_1_participer_au_groupe_jeunes;Q_4_4_1_participe_groupe_femmes;Q_4_4_1_participer_syndicat;Q_4_4_1_participer_a_la_cooperation;Q_4_4_1_participer_a_la_communaute_associative;Q_4_4_1_participer_au_football_de_club;Q_4_5_1_revenu_travail_exterieur;Q_5_1_2_type_culture;Q_5_3_2_cueillette_produits_forestiers;Q_6_1_2_emploi_main_doeuvre;Q_6_1_4_2_Insecticides_chimiques;Q_6_1_4_2_defensifs_naturels;Q_6_1_4_3_herbicide;Q_6_2_1_Produits_chimiques;Q_6_2_1_2_pourquoi_nutiliser_plus_de_produits_chimiques;Q_6_3_1_entendu_parler_agroecologie;Q_6_3_1_3_Pratiquedelagroecologie;Q_6_3_1_3_1_quelle_culture_agroecologie;Q_6_3_1_3_2_depuis_quand_pratique_agroecologie;Q_7_1_1_2_Produits_commerciaux;Q_7_1_1_2_produitprincipal;Q_7_1_1_2_3_forme_commercialisation;Q_7_1_1_3_certification;Q_7_2_1_revenu_agricole_bon_mois;Q_7_2_2_revenu_agricole_mois_difficile;Q_7_4_1_Principales_difficultes_de_production;Q_7_4_1_1_autres_difficultes_de_production;Q_7_4_2_principales_difficultes_de_la_commercialisation;Q_7_5_1_2_credit;Q_7_6_1_Technique_dassistance_a_la_visite;Q_7_6_2_Douviennentlestechniciens;Q_7_6_3_frequence_visites;Q_8_1_2_titredubien;Q_8_1_4_enregistrement_environnemental_CAR;Q_8_1_5_annee_CAR;Q_8_4_1_nouvelles_terres;Q_8_4_1_3_annee_acquisition;Q_8_5_1_evenementdeterrain;Q_8_5_1_5_annee_vendu;Q_8_5_2_refu_proposition_achat_refuse;Q_8_5_2_1_annee_proposition_achat;Q_8_5_3_campagne_ne_vend_pas_ta_terre;Q_9_1_1_2_abandondelaculture;Q_9_1_1_3_pourquoi_abandonner;Q_9_2_1_nouvelles_activites;Q_9_2_1_2_quelles_nouvelles_activites;Q_9_3_1_Changement_du_climat;Q_9_3_1_4_assechement_source;Q_9_3_1_5_Sourcesdeauassechees;Q_9_4_1_Changement_apres_soja;Q_9_4_1_2_quand_changements;Q_9_4_1_3_quand_changements_lies_soja;Q_9_4_1_4_changements_positifs_soja;Q_9_4_1_5_changements_negatifs_soja;Q_9_4_2_atteint_pour_la_pulverisation_des_pesticides;Q_9_4_2_3_commentaire_pesticides_impactant;Q_9_4_2_4_problemes_sante_lies_pulverisations;Q_9_5_1_enfants_veulent_continuer_leur_activite_agricole;Q_9_5_1_2_quel_futur_veulent_pour_les_enfants;Q_9_5_2_quel_futur_5_ans;Q_9_6_1_situation_communautaire_sante;Q_9_6_1_situation_communaute_education;Q_9_6_1_situation_communaute_production_agricole;Q_9_6_1_situation_communaute_route_transport;Q_9_6_1_situation_communaute_liens_sociaux;Q_9_6_1_situation_communaute_relations_autres_acteurs_dont_soja;Q_9_6_1_situation_communaute_pouvoirs_publics;Q_9_6_2_changements_15ans_sante;Q_9_6_2_changements_15ans_education;Q_9_6_2_changements_15ans_production_agricole;Q_9_6_2_changements_15ans_transport_route;Q_9_6_2_changements_15ans_liens_sociaux;Q_9_6_2_changements_15ans_acteurs_exterieurs;Q_9_6_2_changements_15ans_pouvoirs_publics;Q_9_6_3_situation_agricole_familiale;Q_9_6_3_situation_communaute_si_continue;Q_9_6_3_situation_soja_si_continue
S1Cipoal;ecolesecondaireincomplete;Plusde30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Leadership;Participer;Non;Non;Plusde3a5salairesminimums;"Fermeproductiveouarriere-cour;ConsortiumouSAF;Autresplantationsindividuelles(ananas,pasteques,poivrons,oranges,etc.).";Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);Pasdereponse;Jamais;1ou2foisparan;Jamais;Avant,maisplusmaintenant;Autres;Non;;;;Farine;Farine;Ventelorsd'unefoiremunicipale;;Plusde1a3salairesminimums;Entre0,5et1salaireminimum;"Secheresse;Temperature;Autres";;Autres;PronafBAutres;Non;;;Titularisation;Oui,individuel;2014;Non;;non;;Non;;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Autre";Non;;Oui,jesaisqueçafaitmal;18ans;;Autres;"Pertedeproduction;changementclimatique;dommagesgenerauxal'environnement";Non;;Iln'avaitpas;Oui;Autres;Jeveuxcontinuerarenforcerlesactivitesdulot;bon;bon;bon;bon;bon;bon;moyen;Lasituationaempire;C'estlamemechose;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;Lasituationvaempirer;;
S3FindeCuruáUna;Enseignementprimaireincomplet;Plusde30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Participer;Participer;Participer;Non;Non;Non;Personnenetravailleendehorsdulotissement;"Plantation;Legumes;Fermeproductiveouarriere-cour";"Fruits(açaí,buriti,bacaba,piquia,etc.);Fruitsacoque(babaçu,andiroba,patauá,castanha-do-pará,muru-muru,etc.)";;Jamais;Jamais;Jamais;Jamaisutilise;;Non;;;;Manioc;Manioc;Vendresurleterrain;Non;Entre0,5et1salaireminimum;Rien;Deplacementdelasaisondespluies;;"Mauvaisetatdesroutes;Difficultearespecterlesreglessanitaires;Difficultearespecterlesreglessanitaires;Difficultearespecterlesreglessanitaires;Difficultearespecterlesreglessanitaires";Aucun;Oui;Autres;Touslestroismois;Projetd'etablissement;Oui,individuel;1997;Oui,jel'aireçud'uneinstitution(INCRA,autre);2016;non;;Non;;Oui;;;Oui;Urucumetcumaru;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;3ans;C'estcommeçadepuis15ans;Aucun;"Pertedeproduction;aggravationdelasantedesfamilles;dommagesgenerauxal'environnement";Oui;"Lesparasitesenvahissentvoscultures;Malaise(forteodeur,mauxdetete,vomissements)";Iln'avaitpas;Vousnesavezpas;Qu'ilspoursuiventdesetudessuperieures;Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;moyen;moyen;moyen;moyen;moyen;C'estlamemechose;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilserenforcera;Vousnesavezpas;Ilserenforcera
S3FindeCuruáUna;Enseignementprimaireincomplet;Moinsde5ans;Chaquejourdansleszonesrurales;Conjoint/partenaire/partenaire;Participer;Non;Non;Participer;Non;Non;Participer;Plusde1a3salairesminimums;;"Fruits(açaí,buriti,bacaba,piquia,etc.);noix(babaçu,andiroba,patauá,castanha-do-pará,muru-muru,etc.)";;Jamais;Jamais;;Jamaisutilise;;Non;;;;;;;Non;Vousnesavezpas;Rien;Aucun;;Aucun;Aucun;Non;;;Reçud'achat;Non;;Non;;oui;2019;Non;;Non;Manioc,riz.;Parcequ'iln'yaplusdeterresaplanter.;Non;;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;2ans;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;"Aggravationdelasantedelafamille;changementclimatique;dommagesgenerauxcausesal'environnement";Oui;"Secheressedujabot;malaise(forteodeur,mauxdetete,vomissements)";Mauxdeteteconstants;Oui;Poursuivrel'activiteagricole;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;bon;moyen;bon;bon;bon;mauvais;Lasituationaempire;Amelioree;C'estlamemechose;Amelioree;C'estlamemechose;C'estlamemechose;Lasituationaempire;Ilserenforcera;Ilserenforcera;Ilserenforcera
S3FindeCuruáUna;Enseignementprimaireincomplet;Moinsde5ans;Chaquejourdansleszonesrurales;Conjoint/partenaire/partenaire;Participer;Non;Non;Participer;Non;Non;Participer;Plusde1a3salairesminimums;;"Fruits(açaí,buriti,bacaba,piquia,etc.);noix(babaçu,andiroba,patauá,castanha-do-pará,muru-muru,etc.)";;Jamais;Jamais;;Jamaisutilise;;Non;;;;;;;Non;Vousnesavezpas;Rien;Aucun;;Aucun;Aucun;Non;;;Reçud'achat;Non;;Non;;oui;2019;Non;;Non;Manioc,riz.;Parcequ'iln'yaplusdeterresaplanter.;Non;;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;2ans;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;"Aggravationdelasantedelafamille;changementclimatique;dommagesgenerauxcausesal'environnement";Oui;"Secheressedujabot;malaise(forteodeur,mauxdetete,vomissements)";Mauxdeteteconstants;Oui;Poursuivrel'activiteagricole;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;bon;moyen;bon;bon;bon;mauvais;Lasituationaempire;Amelioree;C'estlamemechose;Amelioree;C'estlamemechose;C'estlamemechose;Lasituationaempire;Ilserenforcera;Ilserenforcera;Ilserenforcera
S2DebutdeCuruáUna;Enseignementprimaireincomplet;Plusde30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Participer;Non;Jusqu'aunsalaireminimum;"Plantation;fermeproductiveouarriere-cour";Jenecollectionnepas;Quelquesfoisparmois;Jamais;;Jamais;;;Non;;;;Farine,Haricots,Fruitdelapassion;;Ventelorsd'unefoiremunicipale;Non;Vousnesavezpas;Vousnesavezpas;"Periodedesecheresse;ravageurs,maladies,insectes;difficulted'accesauxintrantsnaturels";;Manquedemoyensdetransportadequats;PronafB;Non;;;Reçud'achat;Oui,individuel;Vousnesavezpas;Non;;non;;Non;;Non;;;Non;;Augmentationdelatemperature(pluschaud);Non;;Ilnepeutpasdire;;;Aucun;Pertedeproduction;Oui;"Secheressedescultures;invasionderavageurs;malaise(forteodeur,mauxdetete,vomissements).";Iln'avaitpas;Non;"Partiralarecherched'unemploienville;Alleral'universite";Jeveuxcontinuerarenforcerlesactivitesdulot;bon;bon;bon;moyen;bon;moyen;bon;C'estlamemechose;Amelioree;C'estlamemechose;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;Vousnesavezpas;Vousnesavezpas;Ilnechangerapas
S2DebutdeCuruáUna;Enseignementprimaireincomplet;Entre15et30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Participer;Non;Participer;Non;Participer;Non;Vousnesavezpas;Plantation;Jenecollectionnepas;;Jamais;Jamais;1ou2foisparan;Utilisation;;Non;;;;Farine;Farine;;Non;Vousnesavezpas;Vousnesavezpas;Excesd'eau/inondation;;Aucun;Aucun;Non;;;Titularisation;Non;;Non;;non;;Non;;Oui;;;Non;;;Non;;Non;;;Aucun;"Changementclimatique;dommagesgenerauxal'environnement";Oui;"Lesparasitesenvahissentvoscultures;Malaise(forteodeur,mauxdetete,vomissements)";Iln'avaitpas;Non;Partiralarecherched'unemploienville;Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;bon;bon;bon;bon;bon;Amelioree;Amelioree;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;Vousnesavezpas;Ilserenforcera;Ilserenforcera
S2DebutdeCuruáUna;Terminerl'enseignementprimaire;Jesuisne(e)ici/j'aigrandiici/jesuisarrive(e)icipendantmonenfance(jusqu'al'agede18ans);Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Participer;Non;Participer;Non;Participer;Participer;Jusqu'aunsalaireminimum;"Plantation;Legumes;Fermeproductiveouarriere-cour";Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);;Jamais;Jamais;Jamais;Jamaisutilise;;Oui;Non;;;Noixdecoco;Noixdecoco;Ventelorsd'unefoiremunicipale;Non;Vousnesavezpas;Rien;Solfaible/degradation;;"Manquedetransportadequat;Difficultearespecterlesreglementationssanitaires;Difficulteanegocieraveclesintermediaires;Difficultearespecterlesreglementationssanitaires;Difficultearespecterlesreglementationssanitaires;Manqued'aidealacommercialisation";Aucun;Non;;;Titularisation;Non;;Oui,jel'aifait;2017;non;;Oui;2019;Oui;Haricots,maïs,tomates,fruitsdelapassion.;Problemedesante.;Non;;"Augmentationdelatemperature(pluschaude);Deplacementdelasaisondespluies";Non;;Oui,jesaisqueçafaitmal;6ans;C'estcommeçadepuis15ans;Ameliorationdel'accesauxintrantsagricoles(semences,produitschimiques,engrais);"Pertedeproduction;aggravationdelasantedelafamilleChangementclimatique;dommagesgenerauxal'environnement";Oui;"Secheressedescultures;invasionderavageurs;malaise(forteodeur,mauxdetete,vomissements).";Iln'avaitpas;Oui;Partiralarecherched'unemploienville;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;moyen;moyen;bon;bon;bon;moyen;C'estlamemechose;Amelioree;C'estlamemechose;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;Vousnesavezpas;Ilserenforcera;Ilserenforcera
S1Cipoal;Enseignementprimaireincomplet;Moinsde5ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire;Fils,fille;Petit-enfant/petite-fille";Participer;Non;Non;Participer;Non;Participer;Non;Plusde1a3salairesminimums;"Legumes;Fermeproductiveouarriere-cour";Jenecollectionnepas;;Jamais;Jamais;Jamais;Jamaisutilise;;Oui;Non;;;Farine,amidondetapioca;Farine;AAP;Non;Vousnesavezpas;Rien;Autres;Attentionauxfillescarellessontgogo.;Aucun;Aucun;Non;;;Reçud'achat;Non;;Oui,jel'aifait;2014;oui;2014;Non;;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Deplacementdelasaisondespluies";Non;;Ilnepeutpasdire;;;Ilnepeutpasdire;Aucun;Non;;Jenesaispas;Non;Partiralarecherched'unemploienville;Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;bon;moyen;bon;bon;moyen;Amelioree;Amelioree;Amelioree;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;Vousnesavezpas;Ilserenforcera;Vousnesavezpas
S3FindeCuruáUna;Enseignementprimaireincomplet;Plusde30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Leadership;Non;Non;Participer;Non;Non;Participer;Plusde1a3salairesminimums;"Plantation;fermeproductiveouarriere-cour";Jenecollectionnepas;Quelquesfoisparmois;1ou2foisparan;Jamais;Jamais;Utilisation;;Oui;Oui;Nepeutrepondre;Nepeutrepondre;Farinedetapioca,manioc;Manioc;Ventescommunautaires;Non;Plusde1a3salairesminimums;Jusqu'a0,5salaireminimum;Ravageurs,maladies,insectes;;"Difficulteaseconformerauxreglementationssanitaires;Difficulteaseconformerauxreglementationssanitaires;Difficulteaseconformerauxreglementationssanitaires;Manqued'aidealacommercialisation";Autres;Non;;;Reçud'achat;Non;;Non;;non;;Oui;2018;Oui;;;Oui;Pimentetfruitdelapassion;Augmentationdelatemperature(pluschaud);Oui;Igarape;Oui,jesaisqueçafaitmal;;Elles'estdeveloppeeaucoursdesdixdernieresannees;Ameliorationdel'accesauxintrantsagricoles(semences,produitschimiques,engrais);Aucun;Oui;;Iln'avaitpas;Vousnesavezpas;"Partiralarecherched'unemploienville;Alleral'universite";Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;bon;moyen;moyen;bon;bon;;Lasituationaempire;Amelioree;Lasituationaempire;Amelioree;Amelioree;C'estlamemechose;;Lasituationvaempirer;Ilserenforcera;Ilserenforcera
S4Ituqui;Enseignementprimaireincomplet;Entre15et30ans;"Participeauxactivitesagricolesdelafamille;Effectuedestravauxquotidiensdanslazonerurale";Fils,fille;Participer;Participer;Non;Non;Non;Participer;Participer;Personnenetravailleendehorsdulotissement;"Plantation;fermeproductiveouarriere-cour";Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);;Jamais;Jamais;1ou2foisparan;Utilisation;;Oui;Oui;;;Farine;Farine;Ventedanslesfoiresmunicipales,Ventedirecteauxconsommateurs;Non;Jusqu'a0,5salaireminimum;Rien;"Periodedesecheresse;ravageurs,maladies,insectes;manqued'assistancetechnique";;"Mauvaisetatdesroutes;manquedetransportadequat;manqued'assistancetechniquepourlacommercialisation";Aucun;Non;;;Reçud'achat;Oui,individuel;2017;Non;;non;;Oui;2019;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Moinsdepluie";Non;;Oui,jesaisqueçafaitmal;;Augmentationaucoursdes5dernieresannees;Aucun;Changementclimatique;Non;;Iln'avaitpas;Oui;"Poursuivrel'agriculture;etudierauniveauuniversitaire";Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;moyen;bon;mauvais;bon;moyen;mauvais;Lasituationaempire;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;Lasituationaempire;Lasituationvaempirer;Lasituationvaempirer;Ilserenforcera
