Latitude,Longitude,Q_2.2_municipe,Q_2.2.1_zone,Q_3.1.3_genre,Q_3.1.4_Scolarite,Q_3.3.2_temps_communautes,Q_3.4.2_activites_professionnelles,Q_4.1.2.1_qui_habite,Q_4.4.1_participer_eglise,Q_4.4.1_participer_au_groupe_jeunes,Q_4.4.1_participe_groupe_femmes,Q_4.4.1_participer_syndicat,Q_4.4.1_participer_a_la_cooperation,Q_4.4.1_participer_a_la_communaute_associative,Q_4.4.1_participer_au_football_de_club,Q_4.5.1_revenu_travail_exterieur,Q_5.1.2_type_culture,Q_5.3.2_cueillette_produits_forestiers,Q_5.3.2_Produits forestiers a base de bois,Q_5.3.2_Produits a base de fibres forestieres,Q_5.3.2_Produits_forestiers_huiles_resines,Q_5.3.2_Produits_fruits_forestiers,Q_5.3.2_Produits_forestiers_chataignes,Q_5.3.2_Produits_forestiers,Q_5.3.2_Produits_forestiers_peche,Q_5.3.2_Produits_forestiers_autres,Q_5.3.2_Pas_de_collecte_de_produits_forestiers,Q_5.3.2.1_autres_collections_forestieres_quelles,Q_6.1.2_emploi_main_d'oeuvre,Q_6.1.3_salaires,Q_6.1.4.2_Insecticides_chimiques,Q_6.1.4.2_defensifs_naturels,Q_6.1.4.3_herbicide,Q_6.2.1_Produits_chimiques,Q_6.2.1.2_pourquoi_n'utiliser_plus_de_produits_chimiques,Q_6.2.1.2.1_autres_raisons_d'utiliser_des_produits_chimiques_nuisibles,Q_6.3.1_entendu_parler_agroecologie,Q_6_3₁_3_Pratique_de_l_agroecologie,Q_6.3.1.3.1_quelle_culture_agroecologie,Q_6.3.1.3.2_depuis_quand_pratique_agroecologie,Q_7.1.1.2_Produits_commerciaux,Q_7.1.1.2_produit principal,Q_7.1.1.2.3_forme_commercialisation,Q_7.1.1.3_certification,Q_7.2.1_revenu_agricole_bon_mois,Q_7.2.2_revenu_agricole_mois_difficile,Q_7.4.1_Principales_difficultes_de_production,Q_7.4.1.1_autres_difficultes_de_production,Q_7.4.2_principales_difficultes_de_la_commercialisation,Q_7.4.2.1_Autres_difficultes_de_commercialisation,Q_7.5.1.2_credit,Q_7.6.1_Technique_d'assistance_a_la_visite,Q_7.6.2_D'où viennent les techniciens ?,Q_7.6.2.1_Autres techniciens qui,Q_7.6.3_frequence_visites,Q_8.1.2_titre du bien,Q_8.1.4_enregistrement_environnemental_CAR,Q_8.1.5_annee_CAR,Q_8.4.1_nouvelles_terres,Q_8.4.1.4_prix,Q_8.5.1_evenement de terrain,Q_8.5.2_refu_proposition_achat_refuse,Q_8.5.2.1_annee_proposition_achat,Q_8.5.3_campagne_ne_vend_pas_ta_terre,Q_9.1.1.2_abandon de la culture,Q_9.1.1.3_pourquoi_abandonner,Q_9.2.1_nouvelles_activites,Q_9.2.1.2_quelles_nouvelles_activites,Q_9.3.1_Changement_du_climat,Q_9.3.1.1_Autres_changements_qui,Q_9.3.1.4_assechement_source,Q_9.3.1.5_Sources d'eau de sechage,Q_9.3.1.6_quand_assechement,Q_9.4.1_Changes_apres_soja,Q_9.4.1.2_quand_changements,Q_9.4.1.3_quand_changements_lies_soja,Q_9.4.1.4_changements_positifs_soja,Q_9.4.1.4.1_autres_ameliorations_quoi,Q_9.4.1.5_changements_negatifs_soja,Q_9.4.1.5.1_Autres_pertes_de_soja_apportees_qui,Q_9.4.2_atteint_pour_la_pulverisation_des_pesticides,Q_9.4.2.3_commentaire_pesticides_impactant,Q_9.4.2.4_problemes_sante_lies_pulverisations,Q_9.4.2.4.1_autres_problemes_de_sante_pulverisations_qual,Q_9.5.1_enfants_veulent_continuer_leur_activite_agricole,Q_9.5.1.2_quel_futur_veulent_pour_les_enfants,Q_9.5.2_quel_futur_5_ans,Q_9.6.1_situation_communautaire_sante,Q_9.6.1_situation_communaute_education,Q_9.6.1_situation_communaute_production_agricole,Q_9.6.1_situation_communaute_route_transport,Q_9.6.1_situation_communaute_liens_sociaux,Q_9.6.1_situation_communaute_relations_autres_acteurs_dont_soja,Q_9.6.1_situation_communaute_pouvoirs_publics,Q_9.6.2_changements_15ans_sante,Q_9.6.2_changements_15ans_education,Q_9.6.2_changements_15ans_production_agricole,Q_9.6.2_changements_15ans_transport_route,Q_9.6.2_changements_15ans_liens_sociaux,Q_9.6.2_changements_15ans_acteurs_exterieurs,Q_9.6.2_changements_15ans_pouvoirs_publics,Q_9.6.3_situation_agricole_familiale,Q_9.6.3_situation_communaute_si_continue,Q_9.6.3_situation_soja_si_continue,Q_10_age,Q_11_Dist_soja,@2.1GPS point d'interview location_altitude,,,,,,,,,,,,,,,,,
-2.53723087,-54.72692524,Santarem,S1 Cipoal,Femme,ecole secondaire incomplete,Plus de 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Leadership,Participer,Non,Non,Plus de 3 a 5 salaires minimums,"Ferme productive ou arriere-cour ; Consortium ou SAF ; Autres plantations individuelles (ananas, pasteques, poivrons, oranges, etc.).","Noix (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,0,0,0,1,0,0,0,0, ,Pas de reponse, ,Jamais,1 ou 2 fois par an,Jamais,"Avant, mais plus maintenant",Autres, ,Non, , , ,Farine,Farine,Vente lors d'une foire municipale, ,Plus de 1 a 3 salaires minimums,"Entre 0,5 et 1 salaire minimum",Secheresse , Temperature , Autres, ,Autres, ,Pronaf B Autres,Non, , , ,Titularisation,"Oui, individuel",2014,Non, ,non,Non, ,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Autre,Plus de pluie,Non, , ,"Oui, je sais que ça fait mal",18 ans, ,Autres,Residus de soja pour engrais,Perte de production , changement climatique , dommages generaux a l'environnement, ,Non, ,Il n'avait pas, ,Oui,Autres,Je veux continuer a renforcer les activites du lot,bon,bon,bon,bon,bon,bon,moyen,La situation a empire,C'est la meme chose,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,La situation va empirer, , ,56,"1095,51252",104,,,,,,,,,,,,
-2.71702084,-54.50672095,Santarem,S3 Fin de Curuá Una,Homme,Enseignement primaire incomplet,Plus de 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Participer,Participer,Participer,Non,Non,Non,Personne ne travaille en dehors du lotissement,Plantation , Legumes , Ferme productive ou arriere-cour,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; Fruits a coque (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,1,0,0, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Non, , , ,Manioc,Manioc,Vendre sur le terrain,Non,"Entre 0,5 et 1 salaire minimum",Rien,Deplacement de la saison des pluies, ,Mauvais etat des routes , Difficulte a respecter les regles sanitaires , Difficulte a respecter les regles sanitaires , Difficulte a respecter les regles sanitaires , Difficulte a respecter les regles sanitaires, ,Aucun,Oui,Autres, ,Tous les trois mois,Projet d'etablissement,"Oui, individuel",1997,"Oui, je l'ai reçu d'une institution (INCRA, autre)", ,non,Non, ,Oui, , ,Oui,Urucum et cumaru,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal",3 ans,C'est comme ça depuis 15 ans,Aucun, ,Perte de production , aggravation de la sante des familles , dommages generaux a l'environnement, ,Oui,"Les parasites envahissent vos cultures ; Malaise (forte odeur, maux de tete, vomissements)",Il n'avait pas, ,Vous ne savez pas,Qu'ils poursuivent des etudes superieures,Je veux continuer a renforcer les activites du lot,moyen,bon,moyen,moyen,moyen,moyen,moyen,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il se renforcera,Vous ne savez pas,Il se renforcera,44,"332,63559",137,,,,,,,,,
-2.76974689,-54.46721803,Santarem,S3 Fin de Curuá Una,Femme,Enseignement primaire incomplet,Moins de 5 ans,Chaque jour dans les zones rurales,Conjoint/partenaire/partenaire,Participer,Non,Non,Participer,Non,Non,Participer,Plus de 1 a 3 salaires minimums, ,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; noix (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,0,0,0, , , ,Jamais,Jamais, ,Jamais utilise, , ,Non, , , , , , ,Non,Vous ne savez pas,Rien,Aucun, ,Aucun, ,Aucun,Non, , , ,Reçu d'achat,Non, ,Non, ,oui,Non, ,Non,"Manioc, riz .",Parce qu'il n'y a plus de terres a planter.,Non, ,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal",2 ans,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,Aggravation de la sante de la famille , changement climatique , dommages generaux causes a l'environnement, ,Oui,"Secheresse du jabot ; malaise (forte odeur, maux de tete, vomissements)",Maux de tete constants, ,Oui,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,mauvais,bon,moyen,bon,bon,bon,mauvais,La situation a empire,Amelioree,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,La situation a empire,Il se renforcera,Il se renforcera,Il se renforcera,57, ,142,,,,,,,,,,,,,,,
-2.76822676,-54.4677032,Santarem,S3 Fin de Curuá Una,Femme,Enseignement primaire incomplet,Moins de 5 ans,Chaque jour dans les zones rurales,Conjoint/partenaire/partenaire,Participer,Non,Non,Participer,Non,Non,Participer,Plus de 1 a 3 salaires minimums, ,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; noix (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,0,0,0, , , ,Jamais,Jamais, ,Jamais utilise, , ,Non, , , , , , ,Non,Vous ne savez pas,Rien,Aucun, ,Aucun, ,Aucun,Non, , , ,Reçu d'achat,Non, ,Non, ,oui,Non, ,Non,"Manioc, riz .",Parce qu'il n'y a plus de terres a planter.,Non, ,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal",2 ans,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,Aggravation de la sante de la famille , changement climatique , dommages generaux causes a l'environnement, ,Oui,"Secheresse du jabot ; malaise (forte odeur, maux de tete, vomissements)",Maux de tete constants, ,Oui,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,mauvais,bon,moyen,bon,bon,bon,mauvais,La situation a empire,Amelioree,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,La situation a empire,Il se renforcera,Il se renforcera,Il se renforcera,57, ,122,,,,,,,,,,,,,,,
-2.57223971,-54.61774142,Santarem,S2 Debut de Curuá Una,Femme,Enseignement primaire incomplet,Plus de 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Participer,Non,Jusqu'a un salaire minimum,Plantation , ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par mois, ,Jamais, ,Jamais, , , ,Non, , , ,"Farine,Haricots,Fruit de la passion", ,Vente lors d'une foire municipale,Non,Vous ne savez pas,Vous ne savez pas,"Periode de secheresse ; ravageurs, maladies, insectes ; difficulte d'acces aux intrants naturels", ,Manque de moyens de transport adequats, ,Pronaf B,Non, , , ,Reçu d'achat,"Oui, individuel",Vous ne savez pas,Non, ,non,Non, ,Non, , ,Non, ,Augmentation de la temperature (plus chaud), ,Non, , ,Il ne peut pas dire, , ,Aucun, ,Perte de production, ,Oui,"Secheresse des cultures ; invasion de ravageurs ; malaise (forte odeur, maux de tete, vomissements).",Il n'avait pas, ,Non,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,bon,bon,bon,moyen,bon,moyen,bon,C'est la meme chose,Amelioree,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,Vous ne savez pas,Vous ne savez pas,Il ne changera pas,50,"2088,75635",99,,,,,,,,,,,,,,,
-2.57187755,-54.61670928,Santarem,S2 Debut de Curuá Una,Femme,Enseignement primaire incomplet,Entre 15 et 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Participer,Non,Participer,Non,Participer,Non,Vous ne savez pas,Plantation,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , ,Jamais,Jamais,1 ou 2 fois par an,Utilisation, , ,Non, , , ,Farine,Farine, ,Non,Vous ne savez pas,Vous ne savez pas,Exces d'eau/inondation, ,Aucun, ,Aucun,Non, , , ,Titularisation,Non, ,Non, ,non,Non, ,Oui, , ,Non, , , ,Non, , ,Non, , ,Aucun, ,Changement climatique , dommages generaux a l'environnement, ,Oui,"Les parasites envahissent vos cultures ; Malaise (forte odeur, maux de tete, vomissements)",Il n'avait pas, ,Non,Partir a la recherche d'un emploi en ville,Je veux continuer a renforcer les activites du lot,moyen,bon,bon,bon,bon,bon,bon,Amelioree,Amelioree,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,Vous ne savez pas,Il se renforcera,Il se renforcera,46,"2118,08259",77,,,,,,,,,,,,,,,,
-2.57186775,-54.61564119,Santarem,S2 Debut de Curuá Una,Homme,Terminer l'enseignement primaire,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Participer,Non,Participer,Non,Participer,Participer,Jusqu'a un salaire minimum,Plantation , Legumes , Ferme productive ou arriere-cour,"Noix (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,0,0,0,1,0,0,0,0, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Oui,Non, , ,Noix de coco,Noix de coco,Vente lors d'une foire municipale,Non,Vous ne savez pas,Rien,Sol faible/degradation, ,Manque de transport adequat , Difficulte a respecter les reglementations sanitaires , Difficulte a negocier avec les intermediaires , Difficulte a respecter les reglementations sanitaires , Difficulte a respecter les reglementations sanitaires , Manque d'aide a la commercialisation, ,Aucun,Non, , , ,Titularisation,Non, ,"Oui, je l'ai fait",2 000 dollars.,non,Oui,2019,Oui,"Haricots, maïs, tomates, fruits de la passion.",Probleme de sante.,Non, ,Augmentation de la temperature (plus chaude) , Deplacement de la saison des pluies, ,Non, , ,"Oui, je sais que ça fait mal",6 ans,C'est comme ça depuis 15 ans,"Amelioration de l'acces aux intrants agricoles (semences, produits chimiques, engrais)", ,Perte de production , aggravation de la sante de la famille Changement climatique , dommages generaux a l'environnement, ,Oui,"Secheresse des cultures ; invasion de ravageurs ; malaise (forte odeur, maux de tete, vomissements).",Il n'avait pas, ,Oui,Partir a la recherche d'un emploi en ville,Je veux continuer a renforcer les activites du lot,mauvais,moyen,moyen,bon,bon,bon,moyen,C'est la meme chose,Amelioree,C'est la meme chose,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,Vous ne savez pas,Il se renforcera,Il se renforcera,50,"2109,71947",81,,,,,,,
-2.54535648,-54.74616358,Santarem,S1 Cipoal,Femme,Enseignement primaire incomplet,Moins de 5 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire ; Fils, fille ; Petit-enfant/petite-fille",Participer,Non,Non,Participer,Non,Participer,Non,Plus de 1 a 3 salaires minimums,Legumes , Ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Oui,Non, , ,"Farine, amidon de tapioca",Farine,AAP,Non,Vous ne savez pas,Rien,Autres,Attention aux filles car elles sont gogo.,Aucun, ,Aucun,Non, , , ,Reçu d'achat,Non, ,"Oui, je l'ai fait",5 mille.,oui,Non, ,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Deplacement de la saison des pluies, ,Non, , ,Il ne peut pas dire, , ,Il ne peut pas dire, ,Aucun, ,Non, ,Je ne sais pas, ,Non,Partir a la recherche d'un emploi en ville,Je veux continuer a renforcer les activites du lot,moyen,bon,bon,moyen,bon,bon,moyen,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,Vous ne savez pas,Il se renforcera,Vous ne savez pas,49,"699,444",142,,,,,,,,,,,,,,,
-2.71884858,-54.50513847,Santarem,S3 Fin de Curuá Una,Homme,Enseignement primaire incomplet,Plus de 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Leadership,Non,Non,Participer,Non,Non,Participer,Plus de 1 a 3 salaires minimums,Plantation , ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par mois, ,1 ou 2 fois par an,Jamais,Jamais,Utilisation, , ,Oui,Oui,Ne peut repondre,Ne peut repondre,"Farine de tapioca, manioc",Manioc,Ventes communautaires,Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum","Ravageurs, maladies, insectes", ,Difficulte a se conformer aux reglementations sanitaires , Difficulte a se conformer aux reglementations sanitaires , Difficulte a se conformer aux reglementations sanitaires , Manque d'aide a la commercialisation, ,Autres,Non, , , ,Reçu d'achat,Non, ,Non, ,non,Oui,2018,Oui, , ,Oui,Piment et fruit de la passion,Augmentation de la temperature (plus chaud), ,Oui,Igarape,3 ans,"Oui, je sais que ça fait mal", ,Elle s'est developpee au cours des dix dernieres annees,"Amelioration de l'acces aux intrants agricoles (semences, produits chimiques, engrais)", ,Aucun, ,Oui, ,Il n'avait pas, ,Vous ne savez pas,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,mauvais,bon,moyen,moyen,bon,bon, ,La situation a empire,Amelioree,La situation a empire,Amelioree,Amelioree,C'est la meme chose, ,La situation va empirer,Il se renforcera,Il se renforcera,59,"399,62612",134,,,,,,,,,,,,
-2.64362784,-54.31543631,Santarem,S4 Ituqui,Femme,Enseignement primaire incomplet,Entre 15 et 30 ans,Participe aux activites agricoles de la famille , Effectue des travaux quotidiens dans la zone rurale,"Fils, fille",Participer,Participer,Non,Non,Non,Participer,Participer,Personne ne travaille en dehors du lotissement,Plantation , ferme productive ou arriere-cour,"Noix (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,0,0,0,1,0,0,0,0, , , ,Jamais,Jamais,1 ou 2 fois par an,Utilisation, , ,Oui,Oui, , ,Farine,Farine,"Vente dans les foires municipales, Vente directe aux consommateurs",Non,"Jusqu'a 0,5 salaire minimum",Rien,"Periode de secheresse ; ravageurs, maladies, insectes ; manque d'assistance technique", ,Mauvais etat des routes , manque de transport adequat , manque d'assistance technique pour la commercialisation, ,Aucun,Non, , , ,Reçu d'achat,"Oui, individuel",2017,Non, ,non,Oui,2019,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Moins de pluie, ,Non, , ,"Oui, je sais que ça fait mal", ,Augmentation au cours des 5 dernieres annees,Aucun, ,Changement climatique, ,Non, ,Il n'avait pas, ,Oui,Poursuivre l'agriculture , etudier au niveau universitaire,Je veux continuer a renforcer les activites du lot,moyen,moyen,bon,mauvais,bon,moyen,mauvais,La situation a empire,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,C'est la meme chose,La situation a empire,La situation va empirer,La situation va empirer,Il se renforcera,49,"364,69766",141,,,,,,,,,,,
